TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;23  BOULEVARD DE SEBASTOPOL;;24 h / 24;Oui;;;"{""coordinates"": [[2.348837230656095, 48.85985523410491]], ""type"": ""MultiPoint""}";48.85985523410491,2.348837230656095
SANISETTE;;BOULEVARD DE SEBASTOPOL;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.35161126358933, 48.8648280162637]], ""type"": ""MultiPoint""}";48.8648280162637,2.35161126358933
SANISETTE;;RUE ORTOLON;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3505902463720973, 48.8431945688025]], ""type"": ""MultiPoint""}";48.8431945688025,2.3505902463720973
SANISETTE;;2  AVENUE MARCEAU;;24 h / 24;Oui;;;"{""coordinates"": [[2.3001834460794393, 48.86519333667549]], ""type"": ""MultiPoint""}";48.86519333667549,2.3001834460794393
SANISETTE;;1  AVENUE DE VERDUN;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3613957718443395, 48.876304046298976]], ""type"": ""MultiPoint""}";48.876304046298976,2.3613957718443395
SANISETTE;;26  PLACE JEANNE D ARC;75013;24 h / 24;Oui;;;"{""coordinates"": [[2.368968163478484, 48.829779950288575]], ""type"": ""MultiPoint""}";48.829779950288575,2.368968163478484
SANISETTE;;44  BOULEVARD VINCENT AURIOL;75013;24 h / 24;Oui;;;"{""coordinates"": [[2.368782607297408, 48.83523926554277]], ""type"": ""MultiPoint""}";48.83523926554277,2.368782607297408
SANISETTE;;3  BOULEVARD DE L HOPITAL;75013;24 h / 24;Oui;;;"{""coordinates"": [[2.364334002626625, 48.84307404437706]], ""type"": ""MultiPoint""}";48.84307404437706,2.364334002626625
SANISETTE;;face au 297 BOULEVARD RASPAIL;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.332118769771475, 48.83481048849861]], ""type"": ""MultiPoint""}";48.83481048849861,2.332118769771475
TOILETTES;;SQUARE DE L'AVENUE BOUTROUX;75013;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-clara-zetkin-ex-square-boutroux-2517;"{""coordinates"": [[2.375899565672565, 48.82166499053291]], ""type"": ""MultiPoint""}";48.82166499053291,2.375899565672565
TOILETTES;;SQUARE DES CHAMAILLARDS;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-des-chamaillards-2858;"{""coordinates"": [[2.3694295007426427, 48.82536366522392]], ""type"": ""MultiPoint""}";48.82536366522392,2.3694295007426427
TOILETTES;;SQUARE SAINT-ELOI;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-saint-eloi-2597;"{""coordinates"": [[2.387662295775836, 48.84457582856606]], ""type"": ""MultiPoint""}";48.84457582856606,2.387662295775836
